url,alt,contexte
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img1.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img2.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img1.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img2.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img1.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img2.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img1.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/img2.png,,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",facebook,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/images/facebook.png,facebook,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",twitter,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/images/twitter.png,twitter,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",youtube,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/images/youtube.png,youtube,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",instagram,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/images/instagram.png,instagram,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",logo mda,"{'titre_parent': ""Maison de l'Artisan"", 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/images/footer-logo-fr.png,logo mda,"{'titre_parent': ""Maison de l'Artisan"", 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",facebook,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/facebook.svg,facebook,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",twitter,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/x.svg,twitter,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",youtube,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/youtube.svg,youtube,"{'titre_parent': '', 'texte_proche': ''}"
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",instagram,"{'titre_parent': '', 'texte_proche': ''}"
https://mda.gov.ma/wp-content/themes/maisonartisan/assets/image-icon/instagram.svg,instagram,"{'titre_parent': '', 'texte_proche': ''}"
